Asambleista,Imagen,Género,Tipo de circunscripción,Circunscripción,jerarquiacircunscripcin,Suplente,Organización política,Comisiones,Cargo en comisión,Consejo de Administración Legislativa,Correo asambleísta,Twitter,Instagram
Ortiz Olaya Amada María,ortiz-OL.png,Femenino,Provincial,Santo Domingo de los Tsáchilas,Provincial>Santo Domingo de los Tsáchilas,,Independiente,"Protección Integral a Niñas, Niños y Adolescentes ",Integrante,,amada.ortiz@asambleanacional.gob.ec,@AmaditaMaria,"@amaditamaria

"
Ortiz Villavicencio Johanna Cecibel,Johanna-Ortiz.png,Femenino,Provincial,Loja,Provincial>Loja,Alito Pinto,Alianza UNES,Derecho al Trabajo y la Seguridad Social,Integrante,,johanna.ortiz@asambleanacional.gob.ec,Javier_Ortiz6,javier.ortiz6
Palacios Zambrano Mónica Estefanía,Monica-Palacios.png,Femenino,Exterior,EEUU y Canadá,Exterior>EEUU y Canadá,Jorge Miranda Idrovo,Alianza UNES,Relaciones Internacionales y Movilidad Humana,Integrante,,monica.palacios@asambleanacional.gob.ec,Mpalacioszam,monica.palacios1
Passailaigue Manosalvas Dallyana Marianela,Dayana-Passailaigue.png,Femenino,Provincial,Guayas Distrito 2,Provincial>Guayas Distrito 2,,Alianza Partido Social Cristiano - Madera de Guerrero,"Protección Integral a Niñas, Niños y Adolescentes ",Integrante,,dallyana.passailaigue@asambleanacional.gob.ec,dallyanapass,dallyanapass
Pazmiño Arregui Mireya Katerine,pazmino-ol.png,Femenino,Provincial,Bolívar,Provincial>Bolívar,Luis Guamba,Pachakutik,Régimen Económico y Tributario y su Regulación y Control,Presidente,,mireya.pazmino@asambleanacional.gob.ec,,
Pereira Chamba Darwin Stalin,Darwin-Pereira.png,Masculino,Provincial,El Oro,Provincial>El Oro,María Judith Carreño Chamba,Pachakutik,"Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",Integrante,Primer vocal,darwin.pereira@asambleanacional.gob.ec,DarwitoPereira,
Pinto Dávila Jorge Washington,Jorge-Pinto.png,Masculino,Provincial,Pichincha Distrito 2,Provincial>Pichincha Distrito 2,Maria Belen Alvarez,Alianza CREO - ADE,"Soberanía, Integración y Seguridad Integral",Integrante,,jorge.pinto@asambleanacional.gob.ec,@JorgePintoD,@jorge_pinto_d
Placencia Tapia Lucia Shadira,Lucia-Placencia.png,Femenino,Provincial,Loja,Provincial>Loja,Dario Sozoranga,Partido Izquierda Democrática,Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero,Vicepresidente,,lucia.placencia@asambleanacional.gob.ec,luciaplacencia_,luciaplacencia_
Plaza Gómez De La Torre María José,Maria-Jose-Plaza.png,Femenino,Provincial,Pichincha Distrito 1,Provincial>Pichincha Distrito 1,Raul Marcelo Pozo,Alianza CREO - ADE,Derecho a la Salud y Deporte,Vicepresidente,,maria.plaza@asambleanacional.gob.ec,@MJPlazaEc,"@mariajoseplaza21

"
Pluas Arias Nelly Zolanda,Zolanda-Pluas.png,Femenino,Provincial,Guayas Distrito 4,Provincial>Guayas Distrito 4,,Alianza Partido Social Cristiano - Madera de Guerrero,"Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",Integrante,,nelly.pluas@asambleanacional.gob.ec,zolandapluasec,zolandapluasec
Quezada Patiño Edgar Patricio,Edgar-Quezada.png,Masculino,Provincial,Sucumbíos,Provincial>Sucumbíos,,Pachakutik,"Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",Integrante,,edgar.quezada@asambleanacional.gob.ec,,
Quishpe Lozano Salvador,Salvador-Quishpe.png,Masculino,Nacional,Nacional,Nacional>Nacional,Sonia Robles,Pachakutik,Derecho al Trabajo y la Seguridad Social,Integrante,,salvador.quishpe@asambleanacional.gob.ec,@SalvadorQuishpe,@quishpesalvador
Raffo Guevara Ana María,Ana-Raffo.png,Femenino,Provincial,Guayas Distrito 4,Provincial>Guayas Distrito 4,Kelber Bermudez Barahona,Alianza UNES,"Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",Integrante,,ana.raffo@asambleanacional.gob.ec,anaraffo1,anaraffoguevara
Recalde Álava Eckenner Reader,Eckenner-Recalde.png,Masculino,Provincial,Pichincha Distrito 2,Provincial>Pichincha Distrito 2,Karina Gabriela Suasnavas Jarrin,Partido Izquierda Democrática,Derecho al Trabajo y la Seguridad Social,Integrante,,eckenner.recalde@asambleanacional.gob.ec,@EckennerID,
Rohon Hervas César Eduardo,rohonol.png,Masculino,Provincial,Guayas Distrito 3,Provincial>Guayas Distrito 3,Elina Narváez Mendieta,Independiente,"Desarrollo Económico, Productivo y la Microempresa",Integrante,,cesar.rohon@asambleanacional.gob.ec,CesarRohon,cesarrohon
Rojas Cuenca Fredy Ramiro,Freddy-Rojas.png,Masculino,Provincial,Galápagos,Provincial>Galápagos,,CREO,Biodiversidad y Recursos Naturales,Integrante,,fredy.rojas@asambleanacional.gob.ec,,
Ruiz Jácome Mario Fernando,Mario-Ruiz.png,Masculino,Provincial,Imbabura,Provincial>Imbabura,Rosa María Carlosama Chachalo,Pachakutik,"Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",Integrante,,mario.ruiz@asambleanacional.gob.ec,MarioRuizJacome,mario_ruiz_jacome
Sanchez Gallegos Bertha Patricia,Bertha-Patricia-Sanchez-Gallegos.png,Femenino,Nacional,Nacional,Nacional>Nacional,Wilson Fermin Paredes Salazar,Pachakutik,"Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio",Integrante,,bertha.sanchez@asambleanacional.gob.ec,@MariuxiLista1,@mariuxi.sanchez
Sánchez Sarango Mariuxi Cleopatra,Mariuxi-Sanchez.png,Femenino,Provincial,Orellana,Provincial>Orellana,,Alianza UNES,"Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales",Integrante,,mariuxi.sanchez@asambleanacional.gob.ec,,
Sanchez Urgiles Sandra Sofía,Sofia-Sanchez.png,Femenino,Provincial,Azuay,Provincial>Azuay,Jorge Raza,Minka por la Vida,"Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",Integrante,,"sandra.sanchez@asambleanacional.gob.ec
",@Patrici20808550,
Santos Sabando Xavier Adolfo,Xavier-Santos.png,Masculino,Provincial,Manabí Distrito 2,Provincial>Manabí Distrito 2,Johanna Monserrate Pilozo Chavez,Partido Izquierda Democrática,Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero,Integrante,,"xavier.santos@asambleanacional.gob.ec
",@xaviersantos_ec,xaviersantos_ec
Saquicela Espinoza Javier Virgilio,Virgilio-Saquicela.png,Masculino,Provincial,Cañar,Provincial>Cañar,Tatiana Borja,Movimiento Democracia Sí,"Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",Integrante,Primer Vicepresidente,"javier.saquicela@asambleanacional.gob.ec
",,virgiliosaquicela20
Segovia Mejía Luis Bruno,Bruno-Segovia.png,Masculino,Provincial,Azuay,Provincial>Azuay,Fernanda Orellana,Independiente,Fiscalización y Control Político,Integrante,,"bruno.segovia@asambleanacional.gob.ec
",,
Terán Barragán Johnny Enrique,Johnny-Teran.png,Masculino,Provincial,Los Ríos,Provincial>Los Ríos,Alisson Marcela Haon Zambrano,Partido Social Cristiano,Régimen Económico y Tributario y su Regulación y Control,Vicepresidente,,"johnny.teran@asambleanacional.gob.ec
",,"@johnnyteranb

"
Torres Cobo Luis Esteban,Esteban-Torres.png,Masculino,Provincial,Tungurahua,Provincial>Tungurahua,Felipe Bonilla,Alianza Partido Social Cristiano - Tiempo de Cambio,Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero,Integrante,,"esteban.torres@asambleanacional.gob.ec
",@etorrescobo,@etorrescobo
Troya Fuertes Marco Stalin,Marco-Troya.png,Masculino,Provincial,Los Ríos,Provincial>Los Ríos,Juan Carlos Troya Fuertes,Movimiento Ecuatoriano Unido,Fiscalización y Control Político,Integrante,,"marco.troya@asambleanacional.gob.ec
",@TROYA_Marco,
Ulcuango Farinango Ricardo,Ricardo-Ulcuango.png,Masculino,Nacional,Nacional,Nacional>Nacional,Evelyn Melissa Zambrano Chavez,Alianza UNES,"Transparencia, Participación Ciudadana y Control Social",Integrante,,"ricardo.ulcuango@asambleanacional.gob.ec
",,@ricardoulcuangof
Urresta Guzmán Jhajaira Estefanía,Jhajaira-Urresta.png,Femenino,Provincial,Pichincha Distrito 2,Provincial>Pichincha Distrito 2,Eduardo Jiménez Quenguan,Alianza UNES,Justicia y Estructura del Estado,Integrante,,jhajaira.urresta@asambleanacional.gob.ec,@EGuzmanurresta,"@jhajaira.urresta.guzman

"
Vallejo Ayala José Luis,Jose-Luis-Vallejo.png,Masculino,Provincial,Carchi,Provincial>Carchi,Yolanada Obando Chulde,Alianza UNES,"Soberanía, Integración y Seguridad Integral",Integrante,,jose.vallejo@asambleanacional.gob.ec,,pepevallejo.a
Vanegas Cortazar Ricardo Xavier,Ricardo-Vanegas.png,Masculino,Nacional,Nacional,Nacional>Nacional,,Pachakutik,Justicia y Estructura del Estado,Integrante,,"ricardo.vanegas@asambleanacional.gob.ec
",@Ricardo_Vanegas,@vanegasasambleista
Varela Salazar Washington Julio Darwin,Washington-Varela.png,Masculino,Provincial,Napo,Provincial>Napo,Andrea Pardo,Alianza Partido Sociedad Patriotica -Antisuyo Ushito,Biodiversidad y Recursos Naturales,Presidente,,"washington.varela@asambleanacional.gob.ec
",,
Vega Olmedo Ligia del Consuelo,Ligia-del-Consuelo-Vega.png,Femenino,Provincial,Morona Santiago,Provincial>Morona Santiago,Cristian Waam,Pachakutik,Biodiversidad y Recursos Naturales,Vicepresidente,,"ligia.vega@asambleanacional.gob.ec
",@cvega2014,
Velasco Erazo Pedro Ramiro,Pedro-Velasco.png,Masculino,Provincial,Carchi,Provincial>Carchi,Trinidad Espinoza,Partido Político Avanza,Fiscalización y Control Político,Integrante,,"pedro.velasco@asambleanacional.gob.ec
",@PedroVelascoE,pedrovelascoe
Veloz Ramírez Rebeca Viviana,Viviana-Veloz.png,Femenino,Provincial,Santo Domingo de los Tsáchilas,Provincial>Santo Domingo de los Tsáchilas,Emerson Hinojosa Ruiz,Alianza UNES,Biodiversidad y Recursos Naturales,Integrante,,"rebeca.veloz@asambleanacional.gob.ec
",@VivianaVeloz18,@vivianavelozoficia
Villavicencio Valencia Fernando Alcibiades,Fernando-Villavicencio.png,Masculino,Nacional,Nacional,Nacional>Nacional,Sara Velastegui,Alianza Honestidad,Fiscalización y Control Político,Presidente,,"fernando.villavicencio@asambleanacional.gob.ec
",@VillaFernando_,@fernandovillavicencioec
Vinueza Salinas John Henry,John-Vinueza.png,Masculino,Provincial,Chimborazo,Provincial>Chimborazo,Deysi Marilin Yuquilema Chimbolema,Unión Ecuatoriana,"Desarrollo Económico, Productivo y la Microempresa",Integrante,,"john.vinueza@asambleanacional.gob.ec
",,
Viteri Jimenez Nathalie Maria,Nathalie-Viteri.png,Femenino,Nacional,Nacional,Nacional>Nacional,,Partido Social Cristiano,"Transparencia, Participación Ciudadana y Control Social",Vicepresidente,,"nathalie.viteri@asambleanacional.gob.ec
",@NathalieViteri,"@nathalieviterij

"
Weber Moreno Geraldine,Geraldine-Weber.png,Femenino,Provincial,Guayas Distrito 1,Provincial>Guayas Distrito 1,,Alianza Partido Social Cristiano - Madera de Guerrero,"Soberanía, Integración y Seguridad Integral",Integrante,,"geraldine.weber@asambleanacional.gob.ec
",,geraldineweber_6
Yucailla Yucailla Cristian Omar,Cristian-Yucailla.png,Masculino,Provincial,Tungurahua,Provincial>Tungurahua,Cesar Freire,Pachakutik,"Desarrollo Económico, Productivo y la Microempresa",Integrante,,"cristian.yucailla@asambleanacional.gob.ec
",,@cristian_yucailla_18
Zambrano Azua Gruber Cesario,gruberol-1.png,Masculino,Provincial,Santo Domingo de los Tsáchilas,Provincial>Santo Domingo de los Tsáchilas,Sara Cabrera Chacón ,Independiente,"Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",Integrante,,"gruber.zambrano@asambleanacional.gob.ec
",CavoZambrano,cavozambrano
Zambrano Landin Carlos Victor,Carlos-Zambrano.png,Masculino,Provincial,El Oro,Provincial>El Oro,Xiomara Alay,Alianza UNES,"Desarrollo Económico, Productivo y la Microempresa",Integrante,,"carlos.zambrano@asambleanacional.gob.ec
",@emzambrano76,mauricio_zambrano_valle
Zambrano Ortiz Eitel James,zambranoe-ol.png,Masculino,Nacional,Nacional,Nacional>Nacional,Teresa Velásquez,Independiente,Régimen Económico y Tributario y su Regulación y Control,Integrante,,"eitel.zambrano@asambleanacional.gob.ec
",@Eitel_ec,"@eitel.ec

"
Zambrano Valle Eduardo Mauricio,Eduardo-Zambrano.png,Masculino,Exterior,"América Latina, El Caribe y África","Exterior>América Latina, El Caribe y África",Shyrabel Loor,Alianza UNES,"Transparencia, Participación Ciudadana y Control Social",Integrante,,"mauricio.zambrano@asambleanacional.gob.e
",@GruberZambranoA,"@gruberzambranoa

"
Zapata Rumipamba Pedro Aníbal,Pedro-Zapata.png,Masculino,Provincial,Galápagos,Provincial>Galápagos,,Partido Social Cristiano,Biodiversidad y Recursos Naturales,Integrante,,"pedro.zapata@asambleanacional.gob.ec
",,
